configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3382420,4.025
1,50%,xz,-3,1,3382412,3.932
10,100%,xz,-9,1,2830604,8.077
11,50%,lzma,-6,16,2831189,7.934
12,75%,xz,-3,32,3382420,4.004
13,50%,lzma,-3,16,3381840,4.007
14,50%,lzma,-6,32,2831189,7.99
15,50%,xz,-6,32,2831684,7.969
16,75%,lzma,-3,16,3381840,3.961
17,75%,lzma,-6,32,2831189,7.994
18,100%,lzma,-6,1,2831189,7.988
19,75%,lzma,-3,1,3381840,3.945
2,75%,xz,-9,16,2830612,8.113
20,75%,lzma,-6,1,2831189,7.955
21,75%,lzma,-6,16,2831189,7.961
22,100%,xz,-9,32,2830612,8.118
23,100%,xz,-9,16,2830612,8.089
24,50%,lzma,-9,32,2830116,8.104
25,50%,lzma,-3,32,3381840,4.007
26,100%,xz,-3,1,3382412,3.963
27,100%,lzma,-9,16,2830116,8.067
28,100%,lzma,-3,1,3381840,3.959
29,50%,lzma,-6,1,2831189,7.959
3,100%,xz,-6,32,2831684,7.91
4,50%,lzma,-3,1,3381840,3.97
5,75%,xz,-3,1,3382412,3.948
6,100%,lzma,-6,16,2831189,7.955
7,75%,xz,-6,32,2831684,7.948
8,50%,xz,-3,32,3382420,3.998
9,75%,xz,-9,32,2830612,8.097
